专家,担任,职称
2,担任,教授
3,担任,教授
4,担任,教授，博士生导师
5,担任,教授，博士生导师
6,担任,博士、高工
7,担任,教授，博士
8,担任,副高
9,担任,教授
10,担任,博士
11,担任,博士
12,担任,副高
13,担任,工程师
14,担任,讲师，硕士生导师
15,担任,副教授，博士生导师
16,担任,副教授
18,担任,教授
20,担任,副教授
21,担任,教授
22,担任,副教授
23,担任,副教授
24,担任,副教授
25,担任,北京化工大学
26,担任,副教授
27,担任,副教授
28,担任,副教授
29,担任,讲师
30,担任,副教授
32,担任,高级
33,担任,高级实验师
34,担任,高级实验师
35,担任,副研究员
36,担任,副研究员
37,担任,副研究员
38,担任,副研究员
39,担任,研究员
40,担任,研究员
41,担任,讲师
42,担任,讲师
43,担任,讲师
44,担任,讲师
45,担任,讲师
46,担任,讲师
47,担任,讲师
48,担任,实验师
49,担任,工程师
50,担任,讲师
51,担任,高级工程师
52,担任,高级工程师
53,担任,高级工程师（副教授）
54,担任,助理研究员
55,担任,助理研究员
56,担任,助理研究员
57,担任,助理研究员
58,担任,副研究员
59,担任,副研究员
60,担任,副研究员
61,担任,副研究员
62,担任,副研究员
63,担任,副研究员
64,担任,副研究员
65,担任,副研究员
66,担任,副研究员
67,担任,研究员
68,担任,教授
69,担任,教授
70,担任,研究员
71,担任,研究员
72,担任,研究员
73,担任,研究员
74,担任,研究员
75,担任,研究员
76,担任,研究员
77,担任,研究员
78,担任,研究员
79,担任,研究员
80,担任,研究员
81,担任,讲师
82,担任,讲师
83,担任,讲师
84,担任,讲师
85,担任,讲师
86,担任,讲师
87,担任,讲师
88,担任,讲师
89,担任,讲师
90,担任,讲师
91,担任,讲师
92,担任,讲师
93,担任,讲师
94,担任,讲师
95,担任,讲师
96,担任,讲师
97,担任,讲师
98,担任,讲师
99,担任,讲师
100,担任,讲师
101,担任,讲师
102,担任,讲师
103,担任,讲师
104,担任,讲师
105,担任,讲师
106,担任,讲师
107,担任,讲师
108,担任,讲师
109,担任,讲师
110,担任,讲师
111,担任,讲师
112,担任,讲师
113,担任,讲师
114,担任,讲师
115,担任,讲师
116,担任,讲师
117,担任,讲师
118,担任,讲师
119,担任,讲师
120,担任,讲师
121,担任,讲师
122,担任,讲师
123,担任,讲师
124,担任,讲师
125,担任,讲师
126,担任,讲师
127,担任,讲师
128,担任,讲师
129,担任,讲师
130,担任,讲师
131,担任,讲师
132,担任,讲师
169,担任,博士生导师
196,担任,主任助理
208,担任,实验室副主任
4812,担任,教授
4812,担任,正高级
4813,担任,院士
4813,担任,教授
4813,担任,博士生导师
4814,担任,副教授
4814,担任,副高级
4820,担任,院士
4820,担任,研究员
4821,担任,副教授
4824,担任,高级工程师
4824,担任,副高级
4827,担任,教授
4829,担任,教授
4829,担任,博士生导师
4830,担任,主任医师
4830,担任,教授
4836,担任,教授
4840,担任,主任
4840,担任,正高级
4841,担任,研究员
4842,担任,教授
4842,担任,博士生导师
4842,担任,博导
4843,担任,副研究员
4844,担任,教授
4845,担任,副研究员
4846,担任,教授
4846,担任,正高级
4848,担任,教授
4854,担任,副教授
4854,担任,副高级
4855,担任,教授
4855,担任,博士生导师
4855,担任,长江学者
4856,担任,讲师
4857,担任,博士生导师
4857,担任,硕士生导师
4859,担任,研究员
4868,担任,教授
4868,担任,博士生导师
4882,担任,教授
4882,担任,正高级
4885,担任,副教授
4886,担任,教授
4888,担任,教授
4888,担任,博士生导师
4891,担任,研究员
4892,担任,教授
4892,担任,正高级
4896,担任,副研究员
4896,担任,副高级
4898,担任,教授
4898,担任,博士生导师
4899,担任,主任医师
4899,担任,教授
4900,担任,院士
4900,担任,研究员
4900,担任,博士生导师
4901,担任,副教授
4904,担任,副教授
4904,担任,副高级
4906,担任,教授
4907,担任,教授
4907,担任,博士生导师
4914,担任,教授
4914,担任,博士生导师
4915,担任,副教授
4920,担任,讲师
4921,担任,教授
4923,担任,教授
4923,担任,研究员
4923,担任,博士生导师
4927,担任,讲师
4928,担任,教授
4930,担任,教授
4931,担任,主任医师
4931,担任,教授
4932,担任,高级工程师
4932,担任,副高级
4935,担任,副教授
4935,担任,副高级
4952,担任,高级工程师
4952,担任,副高级
4955,担任,教授
4955,担任,杰青
4958,担任,教授
4958,担任,正高级
4960,担任,副教授
4960,担任,硕士生导师
4961,担任,院士
4961,担任,教授
4968,担任,副教授
4968,担任,讲师
4971,担任,研究员
4973,担任,研究员
4973,担任,博士生导师
4974,担任,高级工程师
4974,担任,副高级
4983,担任,高级工程师
4983,担任,副高级
4985,担任,副教授
4985,担任,副高级
4988,担任,教授
4988,担任,杰青
4990,担任,高级工程师
4990,担任,副高级
4994,担任,讲师
5000,担任,教授
5000,担任,正高级
5001,担任,高级工程师
5001,担任,副高级
5002,担任,教授
5002,担任,博士生导师
5003,担任,教授
5003,担任,博士生导师
5005,担任,副教授
5005,担任,副高级
5007,担任,教授
5007,担任,博士生导师
5012,担任,教授
5019,担任,研究员
5019,担任,正高级
5022,担任,教授
5022,担任,正高级
5026,担任,研究员
5029,担任,研究员
5029,担任,博士生导师
5034,担任,教授
5034,担任,正高级
5036,担任,院士
5036,担任,教授
5036,担任,长江学者
5042,担任,教授
5042,担任,博士生导师
5049,担任,教授
5050,担任,教授
5050,担任,博士生导师
5051,担任,教授
5053,担任,主任
5053,担任,正高级
5056,担任,教授
5061,担任,高级工程师
5061,担任,副高级
5064,担任,教授
5064,担任,博士生导师
5065,担任,高级工程师
5065,担任,副高级
5066,担任,教授
5066,担任,正高级
5071,担任,教授
5072,担任,教授
5076,担任,教授
5076,担任,正高级
5077,担任,教授
5077,担任,正高级
5078,担任,教授
5078,担任,正高级
5080,担任,教授
5080,担任,博士生导师
5082,担任,教授
5084,担任,教授
5086,担任,教授
5086,担任,正高级
5088,担任,副教授
5088,担任,研究生导师
5089,担任,研究员
5089,担任,博士生导师
5090,担任,副教授
5090,担任,副高级
5093,担任,副教授
5093,担任,副高级
5094,担任,副研究员
5095,担任,教授
5096,担任,教授
5096,担任,正高级
5096,担任,长江学者
5098,担任,教授
5098,担任,正高级
5101,担任,教授
5109,担任,主任医师
5109,担任,教授
5111,担任,教授
5111,担任,博士生导师
5114,担任,主任医师
5114,担任,副教授
5115,担任,研究员
5127,担任,副教授
5128,担任,研究员
5129,担任,教授
5129,担任,博士生导师
5132,担任,研究员
5132,担任,正高级
5134,担任,教授
5138,担任,教授
5138,担任,正高级
5139,担任,教授
5144,担任,院士
5144,担任,研究员
5144,担任,博士生导师
5144,担任,长江学者
5146,担任,教授
5146,担任,正高级
5150,担任,教授
5150,担任,正高级
5151,担任,教授
5153,担任,研究员
5155,担任,副研究员
5155,担任,副高级
5163,担任,研究员
5164,担任,教授
5164,担任,万人计划
5169,担任,正高级
5182,担任,教授
5185,担任,副教授
5185,担任,副高级
5186,担任,教授
5186,担任,正高级
5191,担任,副教授
5192,担任,主任医师
