专家,工作,单位
2,工作,北京航空航天大学
3,工作,北京航空航天大学
4,工作,北京航空航天大学
5,工作,北京航空航天大学
6,工作,北京航空航天大学
7,工作,北京航空航天大学
8,工作,北京航空航天大学
9,工作,浙江科技学院自动化与电气工程学院
10,工作,北京出入境检验检疫局
11,工作,中国科学院地理科学与资源研究所
12,工作,中国科学院计算技术研究所
13,工作,杭州仪器仪表学会
14,工作,北京邮电大学
15,工作,北京邮电大学
16,工作,北京邮电大学
18,工作,北京邮电大学
20,工作,北京化工大学
21,工作,北京化工大学
22,工作,北京化工大学
23,工作,北京化工大学
24,工作,北京化工大学
25,工作,副教授
26,工作,北京化工大学
27,工作,北京化工大学
28,工作,北京化工大学
29,工作,北京林业大学
30,工作,北方工业大学
32,工作,中国农技协北京都市现代农业技术交流中心
33,工作,北京航空航天大学
34,工作,北京航空航天大学
35,工作,北京航空航天大学
36,工作,北京航空航天大学
37,工作,北航大数据精准医疗高精尖创新中心
38,工作,北京航空航天大学
39,工作,北京航空航天大学
40,工作,北京航空航天大学
41,工作,北京航空航天大学
42,工作,北京航空航天大学
43,工作,北京航空航天大学
44,工作,北京航空航天大学
45,工作,北京航空航天大学
46,工作,北京航空航天大学
47,工作,北京航空航天大学
48,工作,北京航空航天大学
49,工作,北京航空航天大学
50,工作,北京航空航天大学
51,工作,北京航空航天大学
52,工作,北京航空航天大学
53,工作,北京航空航天大学
54,工作,北京航空航天大学
55,工作,北京航空航天大学
56,工作,北京航空航天大学
57,工作,北京航空航天大学
58,工作,北京航空航天大学
59,工作,北京航空航天大学
60,工作,北京航空航天大学
61,工作,北京航空航天大学
62,工作,北京航空航天大学
63,工作,北京航空航天大学
64,工作,北京航空航天大学
65,工作,北京航空航天大学
66,工作,北京航空航天大学
67,工作,北京航空航天大学
68,工作,北京航空航天大学
69,工作,北京航空航天大学
70,工作,北京航空航天大学
71,工作,北京航空航天大学
72,工作,北京航空航天大学
73,工作,北京航空航天大学
74,工作,北京航空航天大学
75,工作,北京航空航天大学
76,工作,北京航空航天大学
77,工作,北京航空航天大学
78,工作,北京航空航天大学
79,工作,北京航空航天大学
80,工作,北京航空航天大学
81,工作,北京航空航天大学
82,工作,北京航空航天大学
83,工作,北京航空航天大学
84,工作,北京航空航天大学
85,工作,北京航空航天大学
86,工作,北京航空航天大学
87,工作,北京航空航天大学
88,工作,北京航空航天大学
89,工作,北京航空航天大学
90,工作,北京航空航天大学
91,工作,北京航空航天大学
92,工作,北京航空航天大学
93,工作,北京航空航天大学
94,工作,北京航空航天大学
95,工作,北京航空航天大学
96,工作,北京航空航天大学
97,工作,北京航空航天大学
98,工作,北京航空航天大学
99,工作,北京航空航天大学
100,工作,北京航空航天大学
101,工作,北京航空航天大学
102,工作,北京航空航天大学
103,工作,北京航空航天大学
104,工作,北京航空航天大学
105,工作,北京航空航天大学
106,工作,北京航空航天大学
107,工作,北京航空航天大学
108,工作,北京航空航天大学
109,工作,北京航空航天大学
110,工作,北京航空航天大学
111,工作,北京航空航天大学
112,工作,北京航空航天大学
113,工作,北京航空航天大学
114,工作,北京航空航天大学
115,工作,北京航空航天大学
116,工作,北京航空航天大学
117,工作,北京航空航天大学
118,工作,北京航空航天大学
119,工作,北京航空航天大学
120,工作,北京航空航天大学
121,工作,北京航空航天大学
122,工作,北京航空航天大学
123,工作,北京航空航天大学
124,工作,北京航空航天大学
125,工作,北京航空航天大学
126,工作,北京航空航天大学
127,工作,北京航空航天大学
128,工作,北京航空航天大学
129,工作,北京航空航天大学
130,工作,北京航空航天大学
131,工作,北京航空航天大学
132,工作,北京航空航天大学
169,工作,中国科学院力学研究所
196,工作,中国科学院力学研究所
207,工作,中国科学院力学研究所
208,工作,中国科学院力学研究所
294,工作,中国科学院力学研究所
399,工作,中国科学院力学研究所
4812,工作,大连理工大学
4813,工作,武汉大学
4814,工作,同济大学
4820,工作,苏州大学
4821,工作,东北师范大学
4824,工作,中山大学
4827,工作,淮海工学院
4829,工作,中南大学
4830,工作,海军总医院
4832,工作,吉林大学
4836,工作,吉林大学
4840,工作,南方医科大学
4841,工作,中国科学院
4842,工作,湖南农业大学
4843,工作,北京工业大学
4844,工作,哈尔滨工业大学
4845,工作,复旦大学
4846,工作,四川大学
4848,工作,西安交通大学
4850,工作,兰州大学
4854,工作,华东理工大学
4855,工作,西北大学
4856,工作,北京大学
4857,工作,中国科学院
4859,工作,上海交通大学
4868,工作,浙江大学
4882,工作,江苏大学
4885,工作,东北大学
4886,工作,华中科技大学
4888,工作,西安建筑科技大学
4891,工作,中国科学院
4892,工作,东北师范大学
4896,工作,中科院苏州生物医学工程技术研究所
4898,工作,太原理工大学
4899,工作,北京友谊医院
4900,工作,中国科学院
4901,工作,清华大学
4904,工作,北京工商大学
4906,工作,西北大学
4907,工作,长春理工大学
4910,工作,华东师范大学
4914,工作,中国科学院
4915,工作,大连理工大学
4920,工作,西华大学
4921,工作,烟台大学文经学院
4923,工作,浙江大学
4927,工作,南开大学
4928,工作,深圳大学
4930,工作,辽宁石油化工大学
4931,工作,北京协和医院
4932,工作,中国汽车工程研究院股份有限公司
4935,工作,燕山大学
4952,工作,中国计量科学研究院
4955,工作,中国医科大学
4958,工作,辽宁工程技术大学
4960,工作,西南交通大学
4961,工作,北京工业大学
4962,工作,大连理工大学
4968,工作,吉林大学
4970,工作,北京大学
4971,工作,中国科学院
